Model,Method,Domain,Category,Metric,Value,SE,CI_Lower,CI_Upper,Bootstrap_N,N
GPT-5,Few-shot (select),Content,ACT,QWK,0.0837,0.0907,-0.0960,0.2576,2000,124
GPT-5,Few-shot (select),Content,ACT,Directional Accuracy,0.5726,0.0451,0.4839,0.6613,2000,124
GPT-5,Few-shot (select),Content,ACT,Directional Macro-F1,0.3674,0.0474,0.2763,0.4609,2000,124
GPT-5,Few-shot (select),Content,ACT,Spearman_Rho,0.1972,0.3361,-0.4826,0.9665,2000,124
GPT-5,Few-shot (select),Coping,ACT,Accuracy,0.1613,0.0347,0.0968,0.2339,2000,124
GPT-5,Few-shot (select),Coping,ACT,F1,0.1469,0.0370,0.0760,0.2196,2000,124
GPT-5,Few-shot (select),Coping,ACT,Kappa,-0.0656,0.0432,-0.1502,0.0198,2000,124
GPT-5,Few-shot (select),Coping,ACT,QWK,0.0050,0.0735,-0.1381,0.1475,2000,124
GPT-5,Few-shot (select),Coping,ACT,Directional Accuracy,0.2419,0.0401,0.1694,0.3226,2000,124
GPT-5,Few-shot (select),Coping,ACT,Directional Macro-F1,0.2097,0.0370,0.1401,0.2841,2000,124
GPT-5,Few-shot (select),Coping,ACT,Spearman_Rho,-0.3156,0.2603,-0.7778,0.2211,2000,124
GPT-5,Few-shot (select),Quitting,ACT,Accuracy,0.2339,0.0370,0.1694,0.3067,2000,124
GPT-5,Few-shot (select),Quitting,ACT,F1,0.2177,0.0368,0.1460,0.2882,2000,124
GPT-5,Few-shot (select),Quitting,ACT,Kappa,0.0761,0.0401,0.0014,0.1554,2000,124
GPT-5,Few-shot (select),Quitting,ACT,QWK,0.0987,0.0623,-0.0189,0.2156,2000,124
GPT-5,Few-shot (select),Quitting,ACT,Directional Accuracy,0.3387,0.0417,0.2581,0.4274,2000,124
GPT-5,Few-shot (select),Quitting,ACT,Directional Macro-F1,0.3304,0.0415,0.2498,0.4114,2000,124
GPT-5,Few-shot (select),Quitting,ACT,Spearman_Rho,-0.0523,0.3123,-0.7500,0.5000,2000,124
GPT-5,Few-shot (select),Content,CBT,Accuracy,0.3733,0.0400,0.2933,0.4533,2000,150
GPT-5,Few-shot (select),Content,CBT,F1,0.2564,0.0484,0.1663,0.3504,2000,150
GPT-5,Few-shot (select),Content,CBT,Kappa,0.0776,0.0487,-0.0152,0.1705,2000,150
GPT-5,Few-shot (select),Content,CBT,QWK,0.0581,0.0977,-0.1347,0.2432,2000,150
GPT-5,Few-shot (select),Content,CBT,Directional Accuracy,0.5933,0.0407,0.5133,0.6733,2000,150
GPT-5,Few-shot (select),Content,CBT,Directional Macro-F1,0.3531,0.0434,0.2693,0.4419,2000,150
GPT-5,Few-shot (select),Content,CBT,Spearman_Rho,-0.2079,0.2504,-0.7212,0.2698,2000,150
GPT-5,Few-shot (select),Coping,CBT,Accuracy,0.3133,0.0391,0.2333,0.3933,2000,150
GPT-5,Few-shot (select),Coping,CBT,F1,0.2502,0.0367,0.1756,0.3245,2000,150
GPT-5,Few-shot (select),Coping,CBT,Kappa,0.1028,0.0470,0.0090,0.1941,2000,150
GPT-5,Few-shot (select),Coping,CBT,QWK,-0.0068,0.0851,-0.1740,0.1586,2000,150
GPT-5,Few-shot (select),Coping,CBT,Directional Accuracy,0.4200,0.0413,0.3333,0.5000,2000,150
