k_train,method_group,feature_set,model,domain,covered_n,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho,N
3,Generic LLM,Few-shot,Gemini-2.5-Pro,content,228,0.3508771929824561,0.2574012778832056,0.04667194033224098,0.15754645956333957,0.6403508771929824,0.3735632183908046,-0.9999999999999999,228
3,Generic LLM,Few-shot,Gemini-2.5-Pro,coping,228,0.25,0.210990966831468,0.013761003743802513,0.10062719419352295,0.4824561403508772,0.3614299854503568,0.0,228
3,Generic LLM,Few-shot,Gemini-2.5-Pro,quitting,228,0.32894736842105265,0.25327864924047316,0.09158615661050495,0.20112958895513022,0.5789473684210527,0.41603484877726005,0.9999999999999999,228
3,Generic LLM,Zero-shot,Grok-4-Fast,content,228,0.40789473684210525,0.1941389268885849,0.05983689178044527,0.06562432373945037,0.7412280701754386,0.2990481797664606,0.9999999999999999,228
3,Generic LLM,Zero-shot,Grok-4-Fast,coping,228,0.3026315789473684,0.1635161701044054,0.03700358613361665,0.051859099804305475,0.5570175438596491,0.3699511730379898,0.9999999999999999,228
3,Generic LLM,Zero-shot,Grok-4-Fast,quitting,228,0.3157894736842105,0.16928064927522407,0.06377826327288039,0.08610451306413291,0.5219298245614035,0.36127942296145327,0.9999999999999999,228
3,Generic LLM,Few-shot,Grok-4-Fast,content,228,0.40789473684210525,0.25483253588516747,0.08545281673401472,0.18705050545977597,0.7236842105263158,0.36475764444711906,-0.9999999999999999,228
3,Generic LLM,Few-shot,Grok-4-Fast,coping,228,0.30701754385964913,0.2086686693345116,0.04678238780694344,0.12322791712104686,0.5789473684210527,0.3824215344376635,0.9999999999999999,228
3,Generic LLM,Few-shot,Grok-4-Fast,quitting,228,0.37280701754385964,0.30750602802215704,0.11213986166330814,0.2336678659344822,0.6491228070175439,0.4223431678937797,-0.9999999999999999,228
3,Generic LLM,Zero-shot,DeepSeek-R1,content,228,0.31140350877192985,0.14662096337723254,-0.003223003839578409,-0.05291455948895396,0.5701754385964912,0.30690690690690686,-0.9999999999999999,228
3,Generic LLM,Zero-shot,DeepSeek-R1,coping,228,0.20614035087719298,0.1360339980385747,0.0020796053586109586,-0.010042380689146757,0.29385964912280704,0.2705844799599089,,228
3,Generic LLM,Zero-shot,DeepSeek-R1,quitting,228,0.14035087719298245,0.10797743487638958,-0.004540754394640967,0.012553995680345431,0.2236842105263158,0.2244115873239657,0.0,228
3,Generic LLM,Few-shot,DeepSeek-R1,content,228,0.2894736842105263,0.21067654235343475,0.005599827697609472,0.06401539448364335,0.5307017543859649,0.3259551859751744,-0.9999999999999999,228
3,Generic LLM,Few-shot,DeepSeek-R1,coping,228,0.18421052631578946,0.169691721968482,-0.03509885281913583,0.05376877302351957,0.37280701754385964,0.3005424883186822,0.49999999999999994,228
3,Generic LLM,Few-shot,DeepSeek-R1,quitting,228,0.2631578947368421,0.22759814120333083,0.036013590033975196,0.09319482083709718,0.45614035087719296,0.347658316844685,-0.9999999999999999,228
5,Generic LLM,Zero-shot,GPT-4o-mini,content,153,0.39869281045751637,0.14712743396953923,0.03595644133963416,0.03821656050955413,0.7581699346405228,0.3344115004492363,,153
5,Generic LLM,Zero-shot,GPT-4o-mini,coping,153,0.26143790849673204,0.1562566844919786,-0.008928571428571397,0.04397130293913443,0.45098039215686275,0.321878453038674,0.9999999999999999,153
5,Generic LLM,Zero-shot,GPT-4o-mini,quitting,153,0.32679738562091504,0.18667917339548018,0.07971268395234754,0.11614040786024171,0.5947712418300654,0.3709814442208808,-0.9999999999999999,153
5,Generic LLM,Few-shot,GPT-4o-mini,content,153,0.38562091503267976,0.18598597535061626,0.03275270697424171,0.12631578947368416,0.7254901960784313,0.3222329472329472,,153
5,Generic LLM,Few-shot,GPT-4o-mini,coping,153,0.2875816993464052,0.17672839225780404,0.039177277179236025,0.11110287028109467,0.477124183006536,0.3550118165502781,,153
5,Generic LLM,Few-shot,GPT-4o-mini,quitting,153,0.28104575163398693,0.1936857867940291,0.033147584305164624,0.1469444648228304,0.5228758169934641,0.3519634913330265,,153
5,Generic LLM,Zero-shot,GPT-5,content,153,0.39869281045751637,0.165388928374003,0.058335563286058156,0.160427807486631,0.7189542483660131,0.3029017857142857,0.9999999999999999,153
5,Generic LLM,Zero-shot,GPT-5,coping,153,0.2549019607843137,0.1389250039638497,0.014798915499322107,0.1612939610638634,0.42483660130718953,0.3551899792174935,0.9999999999999999,153
5,Generic LLM,Zero-shot,GPT-5,quitting,153,0.11764705882352941,0.08177777777777778,-0.026794591370053578,0.09194612242739875,0.19607843137254902,0.20493827160493827,0.9999999999999999,153
5,Generic LLM,Few-shot,GPT-5,content,153,0.37254901960784315,0.20461760461760461,0.04728546409807355,0.1716738197424894,0.6797385620915033,0.33248330297510625,,153
5,Generic LLM,Few-shot,GPT-5,coping,153,0.2679738562091503,0.17328971139017404,0.033611549740582,0.0568291273357735,0.42483660130718953,0.3423511599236873,0.9999999999999999,153
5,Generic LLM,Few-shot,GPT-5,quitting,153,0.21568627450980393,0.16905765491722907,0.02205177372962619,0.11627504367396413,0.38562091503267976,0.33414856982219415,0.9999999999999999,153
5,Generic LLM,Zero-shot,Gemini-2.5-Pro,content,153,0.39215686274509803,0.19517018928783636,0.050133511348464554,0.1779661016949151,0.7124183006535948,0.2986776105791154,0.9999999999999999,153
5,Generic LLM,Zero-shot,Gemini-2.5-Pro,coping,153,0.29411764705882354,0.18668153959177802,0.004518344478583014,0.13663702017973656,0.5882352941176471,0.3556712221510428,,153
5,Generic LLM,Zero-shot,Gemini-2.5-Pro,quitting,153,0.29411764705882354,0.18020104895104896,0.01812347733079811,0.06568316790128625,0.5947712418300654,0.33673367159921974,0.9999999999999999,153
5,Generic LLM,Few-shot,Gemini-2.5-Pro,content,153,0.35294117647058826,0.23453843009081785,0.05419918826100523,0.13815789473684215,0.6470588235294118,0.3729727274791652,-0.9999999999999999,153
5,Generic LLM,Few-shot,Gemini-2.5-Pro,coping,153,0.24836601307189543,0.18874832124630675,0.00362421428166948,0.13166339811018013,0.5228758169934641,0.39973060927529963,0.0,153
