k_train,feature_set,ensemble,domain,N,Accuracy,F1,Kappa,QWK,Directional Accuracy,Directional Macro-F1,Spearman_Rho
1,Demo+History,LLM only,coping,2704,0.38979289940828404,0.34670256538799926,0.18511419743446866,0.4265975820379966,0.606508875739645,0.5068094945867488,0.05218110787093471
1,Demo+History,LLM only,quitting,2704,0.4005177514792899,0.35584554474164837,0.20522790488520437,0.4750179540282009,0.625,0.521997198342715,0.07452903498726063
1,Demo+History,Mean (50/50),content,2704,0.4478550295857988,0.32673437281154627,0.21435610654519022,0.364341547380422,0.6752958579881657,0.487607675733869,0.051373113500283445
1,Demo+History,Mean (50/50),coping,2704,0.3783284023668639,0.3349206621759646,0.17101791510300945,0.41312159027380946,0.6098372781065089,0.5012815448140581,0.006004003889913399
1,Demo+History,Mean (50/50),quitting,2704,0.4005177514792899,0.3511651071409605,0.203777673831398,0.46784326350939265,0.6372041420118343,0.5181774380792677,0.048917362761226955
1,Demo+History,RF-anchor 70/30,content,2704,0.4460059171597633,0.33389880157877216,0.2226664210267748,0.36001832048354965,0.6420118343195266,0.49241548910602395,0.058554431216134566
1,Demo+History,RF-anchor 70/30,coping,2704,0.40384615384615385,0.36738172447770684,0.21236053425465717,0.44120047384719197,0.599112426035503,0.5019431676530847,0.11562746679560527
1,Demo+History,RF-anchor 70/30,quitting,2704,0.42048816568047337,0.3685903524042744,0.23262745223037218,0.48585810475440816,0.6312869822485208,0.5146907174373073,0.11916109263957333
1,Demo+History,LLM-anchor 30/70,content,2704,0.46227810650887574,0.3338413794920142,0.22946657102652446,0.36171130574107035,0.6830621301775148,0.4907580422031175,0.058556015417009374
1,Demo+History,LLM-anchor 30/70,coping,2704,0.3838757396449704,0.34305063301262695,0.17862216226357785,0.4344836139261069,0.6087278106508875,0.5123546423723656,0.04881588475221953
1,Demo+History,LLM-anchor 30/70,quitting,2704,0.3968195266272189,0.3503504475268205,0.19983714519297102,0.47585984169561535,0.625,0.5180589388106921,0.06829164724144911
1,Embedding,RF only,content,2670,0.31797752808988766,0.20572515311449205,0.0098193873024911,0.042643911395552014,0.5853932584269663,0.3353221916377285,-0.00678824052132468
1,Embedding,RF only,coping,2670,0.2910112359550562,0.20200792522081903,0.027455101930077275,0.03986596927636732,0.5164794007490636,0.33749622869839707,0.0014977474132292275
