model,model_color,reference_key,reference,comparison_key,comparison,domain,metric,difference,ci_low,ci_high,verdict,bootstrap_replicates,resampling_unit,n_participants,n_test_messages,seed,baseline_key,baseline
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Quitting,qwk,-0.5248925476136488,-0.5933792312854601,-0.4507406160192006,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Quitting,directional_accuracy,-0.34966592427616927,-0.3993400384797492,-0.2991071428571429,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
GPT-5,#DE8F05,pp_cbtact,PP + history + CBT/ACT,history_text_only,History text only,Quitting,directional_macro_f1,-0.2886723146231109,-0.3368046226885996,-0.23509589764238373,reference better,2000,participant,301,898,20261928,pp_cbtact,PP + history + CBT/ACT
DeepSeek-R1,#029E73,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,accuracy,-0.023385300668151476,-0.04923796761502342,0.0033408503474834407,comparable,2000,participant,301,898,20262937,pp_cbtact,PP + history + CBT/ACT
DeepSeek-R1,#029E73,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,macro_f1,-0.033567343122626936,-0.0642253726231188,0.0001383166087585733,comparable,2000,participant,301,898,20262937,pp_cbtact,PP + history + CBT/ACT
DeepSeek-R1,#029E73,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,qwk,-0.041972238928268846,-0.08868449002373939,0.006037251342828576,comparable,2000,participant,301,898,20262937,pp_cbtact,PP + history + CBT/ACT
DeepSeek-R1,#029E73,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,directional_accuracy,-0.020044543429844186,-0.04231625835189312,0.0022222222222222365,comparable,2000,participant,301,898,20262937,pp_cbtact,PP + history + CBT/ACT
DeepSeek-R1,#029E73,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Content,directional_macro_f1,-0.0599117483901328,-0.10192276632651859,-0.015140357828579424,reference better,2000,participant,301,898,20262937,pp_cbtact,PP + history + CBT/ACT
DeepSeek-R1,#029E73,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,accuracy,-0.031180400890868598,-0.06124721603563471,0.0,comparable,2000,participant,301,898,20262937,pp_cbtact,PP + history + CBT/ACT
DeepSeek-R1,#029E73,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,macro_f1,-0.03826137483565467,-0.07326457812644353,-0.003717996395950598,reference better,2000,participant,301,898,20262937,pp_cbtact,PP + history + CBT/ACT
DeepSeek-R1,#029E73,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,qwk,-0.04834329688466421,-0.09831782911357155,-0.0016648957783736516,reference better,2000,participant,301,898,20262937,pp_cbtact,PP + history + CBT/ACT
DeepSeek-R1,#029E73,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,directional_accuracy,-0.03229398663697103,-0.05882516339869282,-0.005522511651235245,reference better,2000,participant,301,898,20262937,pp_cbtact,PP + history + CBT/ACT
DeepSeek-R1,#029E73,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Coping,directional_macro_f1,-0.019385228928140874,-0.05681134624024913,0.019290873168310876,comparable,2000,participant,301,898,20262937,pp_cbtact,PP + history + CBT/ACT
DeepSeek-R1,#029E73,pp_cbtact,PP + history + CBT/ACT,full_pp_no_cbtact,PP + history (no CBT/ACT),Quitting,accuracy,-0.040089086859688206,-0.07119021134593995,-0.01005558534517158,reference better,2000,participant,301,898,20262937,pp_cbtact,PP + history + CBT/ACT
